fda drug,chemical name,indications,url
clomid,Clomiphene,"Ovulation induction,Treatment of ovulatory dysfunction",https://www.uptodate.com/contents/clomiphene-drug-information?search=clomid&source=search_result&selectedTitle=1%7E66&usage_type=default&display_rank=1
clozaril,Clozapine,"Schizophrenia,Suicidal behavior in schizophrenia or schizoaffective disorder,Bipolar disorder,Psychosis in Parkinson disease,,Schizophrenia, treatment resistant",https://www.uptodate.com/contents/clozapine-drug-information?search=clozaril&source=search_result&selectedTitle=1%7E103&usage_type=default&display_rank=1
cogentin,Benztropine,"Drug-induced extrapyramidal symptoms,Parkinsonism,Extrapyramidal disorders",https://www.uptodate.com/contents/benztropine-benzatropine-drug-information?search=cogentin&source=search_result&selectedTitle=1%7E31&usage_type=default&display_rank=1
colazal,Balsalazide,"Ulcerative colitis,Ulcerative colitis, remission maintenance",https://www.uptodate.com/contents/balsalazide-drug-information?search=colazal&source=search_result&selectedTitle=1%7E8&usage_type=default&display_rank=1
colcrys,Colchicine,"Indication-specific dosing,Dosage adjustment for concomitant therapy with CYP3A4 or P-gp inhibitors,Familial Mediterranean fever,Gout flares",https://www.uptodate.com/contents/colchicine-drug-information?search=colcrys&source=search_result&selectedTitle=1%7E148&usage_type=default&display_rank=1
colestid,Colestipol,"Primary hypercholesterolemia,Pruritus with primary biliary obstruction",https://www.uptodate.com/contents/colestipol-drug-information?search=colestid&source=search_result&selectedTitle=1%7E76&usage_type=default&display_rank=1
coly-mycin m,Colistin,"Susceptible infections,Severe infections,Bronchiectasis, pulmonary colonization/infection with susceptible organisms in cystic fibrosis and noncystic fibrosis patients,Cystic fibrosis,Meningitis,Pneumonia, hospital-acquired or ventilator-associated due to susceptible multidrug-resistant gram-negative bacilli",https://www.uptodate.com/contents/colistin-colistimethate-drug-information?search=coly-mycin+m&source=search_result&selectedTitle=1%7E60&usage_type=default&display_rank=1
colyte,Polyethylene glycol electrolyte solution,"Bowel cleansing,Whole bowel irrigation",https://www.uptodate.com/contents/polyethylene-glycol-electrolyte-solution-drug-information?search=colyte&source=search_result&selectedTitle=1%7E38&usage_type=default&display_rank=1
comtan,Entacapone,Parkinson disease,https://www.uptodate.com/contents/entacapone-drug-information?search=comtan&source=search_result&selectedTitle=1%7E8&usage_type=default&display_rank=1
concerta,Methylphenidate,"ADHD,Narcolepsy,Depression in medically-ill older adults or adult patients with terminal illness and/or receiving palliative care,Fatigue, cancer-related,Attention-deficit/hyperactivity disorder",https://www.uptodate.com/contents/methylphenidate-drug-information?search=concerta&source=search_result&selectedTitle=1%7E117&usage_type=default&display_rank=1
condylox,Podofilox,"Genital warts,Genital and perianal warts,Molluscum contagiosum,Perianal warts",https://www.uptodate.com/contents/podofilox-drug-information?search=condylox&source=search_result&selectedTitle=1%7E14&usage_type=default&display_rank=1
conzip,Tramadol,"Pain management,Premature ejaculation,Restless legs syndrome, refractory",https://www.uptodate.com/contents/tramadol-drug-information?search=conzip&source=search_result&selectedTitle=1%7E148&usage_type=default&display_rank=1
corgard,Nadolol,"Angina,Atrial fibrillation,Catecholaminergic polymorphic ventricular tachycardia,Gastroesophageal variceal hemorrhage prophylaxis in patients with cirrhosis,Hypertension,Supraventricular tachycardia,Thyrotoxicosis,Ventricular arrhythmias,Ventricular premature beat,Ventricular tachycardia",https://www.uptodate.com/contents/nadolol-drug-information?search=corgard&source=search_result&selectedTitle=1%7E32&usage_type=default&display_rank=1
cortef,Hydrocortisone,"Anti-inflammatory or immunosuppressive,Multiple sclerosis, acute exacerbations,Adrenal insufficiency,Congenital adrenal hyperplasia,Stress dosing in patients known to be adrenally-suppressed,Septic shock,Thyroid storm,Allergic states,Dermatologic diseases,Edematous states,Endocrine disorders,GI diseases,Hematologic disorders,Neoplastic diseases,Nervous system,Ophthalmic diseases,Respiratory diseases,Rheumatic disorders,Miscellaneous",https://www.uptodate.com/contents/hydrocortisone-systemic-drug-information?search=cortef&source=search_result&selectedTitle=1%7E145&usage_type=default&display_rank=1
cortenema,Hydrocortisone,"Anti-inflammatory or immunosuppressive,Multiple sclerosis, acute exacerbations,Adrenal insufficiency,Congenital adrenal hyperplasia,Stress dosing in patients known to be adrenally-suppressed,Septic shock,Thyroid storm,Allergic states,Dermatologic diseases,Edematous states,Endocrine disorders,GI diseases,Hematologic disorders,Neoplastic diseases,Nervous system,Ophthalmic diseases,Respiratory diseases,Rheumatic disorders,Miscellaneous",https://www.uptodate.com/contents/hydrocortisone-systemic-drug-information?search=cortenema&source=search_result&selectedTitle=1%7E145&usage_type=default&display_rank=1
cortisporin otic,"Bacitracin, neomycin, polymyxin B, and hydrocortisone",Inflammatory ocular conditions,https://www.uptodate.com/contents/bacitracin-neomycin-polymyxin-b-and-hydrocortisone-ophthalmic-drug-information?search=cortisporin+otic&source=search_result&selectedTitle=2%7E13&usage_type=default&display_rank=5
cosmegen,Dactinomycin,"Ewing sarcoma,Gestational trophoblastic neoplasm,Rhabdomyosarcoma,Testicular cancer, metastatic,Wilms tumor,Regional perfusion,Osteosarcoma,Ovarian germ cell tumors, malignant,Soft tissue sarcoma of the extremities, locally advanced/unresectable,Gestational trophoblastic neoplasia,Rhabdosarcoma,Solid tumors",https://www.uptodate.com/contents/dactinomycin-drug-information?search=cosmegen&source=search_result&selectedTitle=1%7E44&usage_type=default&display_rank=1
cozaar,Losartan,"Hypertension,Diabetic nephropathy,Hypertension with left ventricular hypertrophy,Heart failure",https://www.uptodate.com/contents/losartan-drug-information?search=cozaar&source=search_result&selectedTitle=1%7E80&usage_type=default&display_rank=1
cutivate,Fluticasone,"Asthma,Chronic obstructive pulmonary disease,Eosinophilic esophagitis,",https://www.uptodate.com/contents/fluticasone-oral-inhalation-drug-information?search=cutivate&source=search_result&selectedTitle=1%7E97&usage_type=default&display_rank=1
cyclessa,Ethinyl estradiol and desogestrel,"With a Sunday start, an additional method of contraception should be used until after the first 7 days of consecutive administration.,Contraception",https://www.uptodate.com/contents/ethinyl-estradiol-and-desogestrel-drug-information?search=cyclessa&source=search_result&selectedTitle=1%7E9&usage_type=default&display_rank=1
cytotec,Misoprostol,"NSAID-induced gastric ulcers, prevention,Termination of intrauterine pregnancy,Early pregnancy loss,Incomplete abortion,Labor induction or cervical ripening,Missed abortion,Postpartum hemorrhage",https://www.uptodate.com/contents/misoprostol-drug-information?search=cytotec&source=search_result&selectedTitle=1%7E106&usage_type=default&display_rank=1
dantrium,Dantrolene,"Chronic spasticity,Malignant hyperthermia,Neuroleptic malignant syndrome",https://www.uptodate.com/contents/dantrolene-drug-information?search=dantrium&source=search_result&selectedTitle=1%7E29&usage_type=default&display_rank=1
daypro,Oxaprozin,"Osteoarthritis, rheumatoid arthritis,Juvenile rheumatoid arthritis,Osteoarthritis,Rheumatoid arthritis",https://www.uptodate.com/contents/oxaprozin-drug-information?search=daypro&source=search_result&selectedTitle=1%7E6&usage_type=default&display_rank=1
ddavp,Desmopressin,"Diabetes insipidus,Intracranial hemorrhage associated with certain antiplatelet agents,Nocturia,Primary nocturnal enuresis,Hemophilia A and von Willebrand disease,Uremic bleeding,Uremic bleeding associated with acute or chronic renal failure,Prevention of surgical bleeding in patients with uremia,",https://www.uptodate.com/contents/desmopressin-drug-information?search=ddavp&source=search_result&selectedTitle=1%7E100&usage_type=default&display_rank=1
"ddavp, desmopressin acetate",Desmopressin,"Diabetes insipidus,Intracranial hemorrhage associated with certain antiplatelet agents,Nocturia,Primary nocturnal enuresis,Hemophilia A and von Willebrand disease,Uremic bleeding,Uremic bleeding associated with acute or chronic renal failure,Prevention of surgical bleeding in patients with uremia,",https://www.uptodate.com/contents/desmopressin-drug-information?search=ddavp%2C+desmopressin+acetate&source=search_result&selectedTitle=1%7E100&usage_type=default&display_rank=1
delestrogen,Estradiol,"General dosing guidelines,Breast cancer, metastatic,Hypoestrogenism,Osteoporosis prevention,Prostate cancer, advanced,Vasomotor symptoms associated with menopause,Vulvar and vaginal atrophy associated with menopause,",https://www.uptodate.com/contents/estradiol-systemic-drug-information?search=delestrogen&source=search_result&selectedTitle=1%7E146&usage_type=default&display_rank=1
depakote er,Valproate,"Seizures,Mania,Migraine prophylaxis,Painful diabetic neuropathy,Postherpetic neuralgia,Status epilepticus,Traumatic brain injury related agitation and aggression,Epilepsy,Migraine",https://www.uptodate.com/contents/valproate-drug-information?search=depakote+er&source=search_result&selectedTitle=1%7E148&usage_type=default&display_rank=1
depakote sprinkle capsules,Valproate,"Seizures,Mania,Migraine prophylaxis,Painful diabetic neuropathy,Postherpetic neuralgia,Status epilepticus,Traumatic brain injury related agitation and aggression,Epilepsy,Migraine",https://www.uptodate.com/contents/valproate-drug-information?search=depakote+sprinkle+capsules&source=search_result&selectedTitle=1%7E150&usage_type=default&display_rank=1
depo-medrol,Methylprednisolone,"Acute respiratory distress syndrome,Allergic conditions,Anti-inflammatory or immunosuppressive,Arthritis,Asthma, exacerbations,Asthma, long-term,Multiple sclerosis, acute exacerbation,Alcoholic hepatitis,Bronchiolitis obliterans syndrome, prevention,Cadaveric organ recovery,Cardiac transplant,COPD exacerbation,Dermatomyositis/polymyositis,Gout, acute,Lupus nephritis,Nausea and vomiting of pregnancy, severe/refractory,,Prostate cancer, metastatic, castration-resistant,Spinal cord injury, acute,Only sodium succinate salt may be given IV.,Oral, IM, and IV administration,Intra-articular or soft tissue administration,Intralesional administration",https://www.uptodate.com/contents/methylprednisolone-drug-information?search=depo-medrol&source=search_result&selectedTitle=1%7E148&usage_type=default&display_rank=1
depo-provera,Medroxyprogesterone acetate,"Abnormal uterine bleeding,Amenorrhea, secondary,Contraception,Endometrial carcinoma, recurrent or metastatic,Endometrial hyperplasia prevention in postmenopausal persons receiving daily conjugated estrogen,Endometrial hyperplasia, treatment,Endometriosis,Hot flashes,Paraphilia/hypersexuality,Endometrial hyperplasia prevention,Endometrial carcinoma",https://www.uptodate.com/contents/medroxyprogesterone-acetate-drug-information?search=depo-provera&source=search_result&selectedTitle=2%7E74&usage_type=default&display_rank=2
derma- smoothe/fs,Ciprofloxacin and fluocinolone,"Acute otitis media in patients with tympanostomy tubes,Acute otitis media",https://www.uptodate.com/contents/ciprofloxacin-and-fluocinolone-drug-information?search=derma-+smoothe%2Ffs&source=search_result&selectedTitle=3%7E27&usage_type=default&display_rank=6
dermotic,Ciprofloxacin and fluocinolone,"Acute otitis media in patients with tympanostomy tubes,Acute otitis media",https://www.uptodate.com/contents/ciprofloxacin-and-fluocinolone-drug-information?search=dermotic&source=search_result&selectedTitle=3%7E27&usage_type=default&display_rank=6
desmopressin acetate,Desmopressin,"Diabetes insipidus,Intracranial hemorrhage associated with certain antiplatelet agents,Nocturia,Primary nocturnal enuresis,Hemophilia A and von Willebrand disease,Uremic bleeding,Uremic bleeding associated with acute or chronic renal failure,Prevention of surgical bleeding in patients with uremia,",https://www.uptodate.com/contents/desmopressin-drug-information?search=desmopressin+acetate&source=search_result&selectedTitle=1%7E100&usage_type=default&display_rank=1
desowen,Desonide,"Atopic dermatitis,Corticosteroid responsive dermatoses,Corticosteroid-responsive dermatoses",https://www.uptodate.com/contents/desonide-drug-information?search=desowen&source=search_result&selectedTitle=1%7E6&usage_type=default&display_rank=1
detrol,Tolterodine,Treatment of overactive bladder,https://www.uptodate.com/contents/tolterodine-drug-information?search=detrol&source=search_result&selectedTitle=1%7E20&usage_type=default&display_rank=1
detrol la,Tolterodine,Treatment of overactive bladder,https://www.uptodate.com/contents/tolterodine-drug-information?search=detrol+la&source=search_result&selectedTitle=1%7E20&usage_type=default&display_rank=1
dexedrine spansule,Dextroamphetamine,"Narcolepsy,Attention-deficit/hyperactivity disorder",https://www.uptodate.com/contents/dextroamphetamine-drug-information?search=dexedrine+spansule&source=search_result&selectedTitle=1%7E44&usage_type=default&display_rank=1
diabeta,Glyburide,"Diabetes mellitus, type 2,Management of noninsulin-dependent diabetes mellitus in patients previously maintained on insulin,not",https://www.uptodate.com/contents/glyburide-glibenclamide-drug-information?search=diabeta&source=search_result&selectedTitle=1%7E54&usage_type=default&display_rank=1
diamox sequels,Acetazolamide,"Altitude illness,Edema,Epilepsy,Familial periodic paralysis,Glaucoma,Hydrocephalous, normal pressure,Idiopathic intracranial hypertension,Metabolic alkalosis,Prevention of cystine renal calculi,Respiratory stimulant in stable hypercapnic COPD",https://www.uptodate.com/contents/acetazolamide-drug-information?search=diamox+sequels&source=search_result&selectedTitle=1%7E103&usage_type=default&display_rank=1
diastat,Diazepam,"Acute ethanol withdrawal,Anxiety,Muscle spasm,Preoperative,Sedation in the ICU patient,Seizures,Status epilepticus,Skeletal muscle relaxant",https://www.uptodate.com/contents/diazepam-drug-information?search=diastat&source=search_result&selectedTitle=1%7E148&usage_type=default&display_rank=1
diazepam,Diazepam,"Acute ethanol withdrawal,Anxiety,Muscle spasm,Preoperative,Sedation in the ICU patient,Seizures,Status epilepticus,Skeletal muscle relaxant",https://www.uptodate.com/contents/diazepam-drug-information?search=diazepam&source=search_result&selectedTitle=1%7E148&usage_type=default&display_rank=1
dibenzyline,Phenoxybenzamine,"Pheochromocytoma,Micturition disorders",https://www.uptodate.com/contents/phenoxybenzamine-drug-information?search=dibenzyline&source=search_result&selectedTitle=1%7E11&usage_type=default&display_rank=1
diflucan,Fluconazole,"Usual dosage range,Indication-specific dosing",https://www.uptodate.com/contents/fluconazole-drug-information?search=diflucan&source=search_result&selectedTitle=1%7E148&usage_type=default&display_rank=1
dilantin,Phenytoin,"Status epilepticus,Seizures",https://www.uptodate.com/contents/phenytoin-drug-information?search=dilantin&source=search_result&selectedTitle=1%7E148&usage_type=default&display_rank=1
dilantin-125,Phenytoin,"Status epilepticus,Seizures",https://www.uptodate.com/contents/phenytoin-pediatric-drug-information?search=dilantin-125&source=search_result&selectedTitle=1%7E150&usage_type=default&display_rank=1
dilaudid,Hydromorphone,"Pain management,Chronic pain,Moderate to severe pain",https://www.uptodate.com/contents/hydromorphone-drug-information?search=dilaudid&source=search_result&selectedTitle=1%7E143&usage_type=default&display_rank=1
diprolene,Calcipotriol,Plaque psoriasis,https://www.uptodate.com/contents/calcipotriol-calcipotriene-and-betamethasone-drug-information?search=diprolene&source=search_result&selectedTitle=5%7E102&usage_type=default&display_rank=8
ditropan xl,Oxybutynin,"Overactive bladder,Primary hyperhidrosis",https://www.uptodate.com/contents/oxybutynin-drug-information?search=ditropan+xl&source=search_result&selectedTitle=1%7E44&usage_type=default&display_rank=1
diuril,Chlorothiazide,"Hypertension,Edema",https://www.uptodate.com/contents/chlorothiazide-drug-information?search=diuril&source=search_result&selectedTitle=1%7E31&usage_type=default&display_rank=1
dolophine,Methadone,"Detoxification,Pain management",https://www.uptodate.com/contents/methadone-drug-information?search=dolophine&source=search_result&selectedTitle=1%7E148&usage_type=default&display_rank=1
doral,Quazepam,"Hypnotic,Insomnia",https://www.uptodate.com/contents/quazepam-drug-information?search=doral&source=search_result&selectedTitle=1%7E3&usage_type=default&display_rank=1
doribax,Doripenem,"Intra-abdominal infection, complicated,Intravenous catheter-related bloodstream infection,Urinary tract infection, complicated,Intra-abdominal infections, complicated,Urinary tract infections, complicated",https://www.uptodate.com/contents/doripenem-drug-information?search=doribax&source=search_result&selectedTitle=1%7E22&usage_type=default&display_rank=1
doryx,Doxycycline,"Usual dosage range,Acne vulgaris,Anaplasmosis and ehrlichiosis,Anthrax,,Bite-wound infection, prophylaxis or treatment,Brucellosis,Cellulitis, mild to moderate,Cholera,Lyme disease,Malaria,Periodontitis, chronic,Plague,Pleurodesis, chemical,Pneumonia, community-acquired,Prosthetic joint infection,Q fever,Rhinosinusitis, acute bacterial,Rocky Mountain spotted fever,Rosacea, moderate to severe or unresponsive to topical therapy,Sexually transmitted infections,Surgical prophylaxis, uterine evacuation,Tularemia,Acne,Actinomycosis,Acute intestinal amebiasis,Anthrax, including inhalational anthrax,Clostridium,Gram-negative infections,Gram-positive infections,Listeriosis,Malaria prophylaxis,Mycoplasma pneumoniae,Ophthalmic infections,Periodontitis,Relapsing fever,Respiratory tract infections,Rickettsial infections,Rosacea,Skin and skin structure infections,Vincent infection,Yaws,Zoonotic infections",https://www.uptodate.com/contents/doxycycline-drug-information?search=doryx&source=search_result&selectedTitle=1%7E148&usage_type=default&display_rank=1
dostinex,Cabergoline,"Hyperprolactinemic disorders,Lactation inhibition,Cushing syndrome,Restless legs syndrome",https://www.uptodate.com/contents/cabergoline-drug-information?search=dostinex&source=search_result&selectedTitle=1%7E33&usage_type=default&display_rank=1
dovonex,Calcipotriol,Plaque psoriasis,https://www.uptodate.com/contents/calcipotriol-calcipotriene-drug-information?search=dovonex&source=search_result&selectedTitle=1%7E33&usage_type=default&display_rank=1
doxil,Pegylated liposomal doxorubicin,"AIDS-related Kaposi sarcoma,Multiple myeloma,Ovarian cancer, advanced,Breast cancer, metastatic,Cutaneous T-cell lymphomas,Hodgkin lymphoma, salvage treatment,Soft tissue sarcoma, advanced,Uterine sarcoma, advanced or recurrent,Liposomal formulations of doxorubicin should NOT be substituted for conventional doxorubicin hydrochloride on a mg-per-mg basis.",https://www.uptodate.com/contents/pegylated-liposomal-doxorubicin-drug-information?search=doxil&source=search_result&selectedTitle=1%7E65&usage_type=default&display_rank=1
doxorubicin,Doxorubicin formulations,",Endometrial carcinoma, advanced,Hepatocellular cancer, metastatic,Multiple myeloma,Renal carcinoma,Salivary gland cancers, advanced,Thymomas and thymic malignancies,Uterine sarcoma,Waldenstrom macroglobulinemia,Breast cancer,Metastatic cancers or disseminated neoplastic conditions",https://www.uptodate.com/contents/doxorubicin-conventional-drug-information?search=doxorubicin&source=search_result&selectedTitle=1%7E148&usage_type=default&display_rank=1
drisdol,Vitamin D2,"Osteoporosis prevention,Vitamin D deficiency treatment,Vitamin D deficiency/insufficiency,Hypoparathyroidism,Vitamin D,Dietary supplement,Familial hypophosphatemia,Rickets",https://www.uptodate.com/contents/vitamin-d2-ergocalciferol-drug-information?search=drisdol&source=search_result&selectedTitle=1%7E38&usage_type=default&display_rank=1
duac,Clindamycin and benzoyl peroxide,"Acne,Inflammatory acne,Rosacea",https://www.uptodate.com/contents/clindamycin-and-benzoyl-peroxide-drug-information?search=duac&source=search_result&selectedTitle=1%7E12&usage_type=default&display_rank=1
duetact,Pioglitazone and glimepiride,"Diabetes mellitus, type 2,Dosage adjustment,Dosage adjustment for hypoglycemia with combination therapy",https://www.uptodate.com/contents/pioglitazone-and-glimepiride-drug-information?search=duetact&source=search_result&selectedTitle=1%7E4&usage_type=default&display_rank=1
duragesic-100,Fentanyl,"Surgery,Pain management,Breakthrough cancer pain,Chronic pain management",https://www.uptodate.com/contents/fentanyl-pediatric-drug-information?search=duragesic-100&source=search_result&selectedTitle=2%7E150&usage_type=default&display_rank=2
duragesic-12,Fentanyl,"Surgery,Pain management,Breakthrough cancer pain,Chronic pain management",https://www.uptodate.com/contents/fentanyl-pediatric-drug-information?search=duragesic-12&source=search_result&selectedTitle=1%7E150&usage_type=default&display_rank=1
duragesic-25,Fentanyl,"Surgery,Pain management,Breakthrough cancer pain,Chronic pain management",https://www.uptodate.com/contents/fentanyl-pediatric-drug-information?search=duragesic-25&source=search_result&selectedTitle=2%7E150&usage_type=default&display_rank=2
duragesic-50,Fentanyl,"Surgery,Pain management,Breakthrough cancer pain,Chronic pain management",https://www.uptodate.com/contents/fentanyl-pediatric-drug-information?search=duragesic-50&source=search_result&selectedTitle=2%7E150&usage_type=default&display_rank=2
duragesic-75,Fentanyl,"Surgery,Pain management,Breakthrough cancer pain,Chronic pain management",https://www.uptodate.com/contents/fentanyl-pediatric-drug-information?search=duragesic-75&source=search_result&selectedTitle=1%7E150&usage_type=default&display_rank=1
dutoprol,Metoprolol and hydrochlorothiazide,"Hypertension,tartrate,succinate",https://www.uptodate.com/contents/metoprolol-and-hydrochlorothiazide-drug-information?search=dutoprol&source=search_result&selectedTitle=1%7E8&usage_type=default&display_rank=1
edecrin,Ethacrynic acid,Edema,https://www.uptodate.com/contents/ethacrynic-acid-drug-information?search=edecrin&source=search_result&selectedTitle=1%7E37&usage_type=default&display_rank=1
effexor xr,Venlafaxine,"Diabetic neuropathy,Episodic migraine prevention,Generalized anxiety disorder,Major depressive disorder,Obsessive-compulsive disorder,Panic disorder,Posttraumatic stress disorder,Premenstrual dysphoric disorder,Social anxiety disorder,Vasomotor symptoms associated with menopause,Dosing conversion,Discontinuation of therapy,MAOI recommendations",https://www.uptodate.com/contents/venlafaxine-drug-information?search=effexor+xr&source=search_result&selectedTitle=1%7E133&usage_type=default&display_rank=1
efudex,Fluorouracil,"Breast cancer,Colorectal cancer,Gastric cancer,Pancreatic cancer,Anal carcinoma,Bladder cancer,Cervical cancer,Esophageal cancer,Glaucoma surgery, adjunctive therapy,Head and neck cancer, squamous cell,Hepatobiliary cancer,Neuroendocrine tumors, pancreatic,Penile cancer, advanced, squamous cell,Unknown primary cancer, squamous cell,Vulvar cancer, advanced,Colon and rectal cancer",https://www.uptodate.com/contents/fluorouracil-systemic-drug-information?search=efudex&source=search_result&selectedTitle=1%7E146&usage_type=default&display_rank=1
eldepryl,Selegiline,"Depression,Parkinson disease,Discontinuation of therapy,MAO inhibitor recommendations,Major depressive disorder",https://www.uptodate.com/contents/selegiline-drug-information?search=eldepryl&source=search_result&selectedTitle=1%7E149&usage_type=default&display_rank=1
eloxatin,Oxaliplatin,"Colorectal cancer,Colon cancer, stage III,Colon/colorectal cancer,Biliary adenocarcinoma, advanced,Chronic lymphocytic leukemia, fludarabine-refractory,Esophageal/gastric cancers,Neuroendocrine tumors,Non-Hodgkin lymphoma, relapsed/refractory,Ovarian cancer, advanced,Pancreatic cancer, advanced,Testicular cancer, refractory,Unknown primary cancer, recurrent or refractory,Colorectal cancer, advanced",https://www.uptodate.com/contents/oxaliplatin-drug-information?search=eloxatin&source=search_result&selectedTitle=1%7E144&usage_type=default&display_rank=1
eloxatin (premierpro),Oxaliplatin,"Colorectal cancer,Colon cancer, stage III,Colon/colorectal cancer,Biliary adenocarcinoma, advanced,Chronic lymphocytic leukemia, fludarabine-refractory,Esophageal/gastric cancers,Neuroendocrine tumors,Non-Hodgkin lymphoma, relapsed/refractory,Ovarian cancer, advanced,Pancreatic cancer, advanced,Testicular cancer, refractory,Unknown primary cancer, recurrent or refractory,Colorectal cancer, advanced",https://www.uptodate.com/contents/oxaliplatin-drug-information?search=eloxatin+%28premierpro%29&source=search_result&selectedTitle=8%7E146&usage_type=default&display_rank=8
entocort ec,Budesonide,"Crohn disease, mild to moderate,Ulcerative colitis,Eosinophilic esophagitis",https://www.uptodate.com/contents/budesonide-systemic-drug-information?search=entocort+ec&source=search_result&selectedTitle=1%7E114&usage_type=default&display_rank=1
epiduo,Adapalene and benzoyl peroxide,Acne vulgaris,https://www.uptodate.com/contents/adapalene-and-benzoyl-peroxide-drug-information?search=epiduo&source=search_result&selectedTitle=1%7E3&usage_type=default&display_rank=1
epipen,Epinephrine,"Acute severe asthma unresponsive to inhaled beta-agonist,Asystole/pulseless arrest, pulseless VT/VF,Bradycardia,Hypersensitivity reaction,Hypotension/shock,Mydriasis during intraocular surgery, induction and maintenance,Hypersensitivity,Mydriasis during intraocular surgery",https://www.uptodate.com/contents/epinephrine-adrenaline-systemic-drug-information?search=epipen&source=search_result&selectedTitle=2%7E7&usage_type=default&display_rank=2
epipen jr.,Epinephrine,"Acute severe asthma unresponsive to inhaled beta-agonist,Asystole/pulseless arrest, pulseless VT/VF,Bradycardia,Hypersensitivity reaction,Hypotension/shock,Mydriasis during intraocular surgery, induction and maintenance",https://www.uptodate.com/contents/epinephrine-adrenaline-systemic-pediatric-drug-information?search=epipen+jr.&source=search_result&selectedTitle=1%7E61&usage_type=default&display_rank=1
epivir-hbv,Lamivudine,"HIV-1 infection, treatment,HIV-1 nonoccupational postexposure prophylaxis,Treatment of hepatitis B,Treatment of hepatitis B/HIV coinfection,Chronic hepatitis B",https://www.uptodate.com/contents/lamivudine-drug-information?search=epivir-hbv&source=search_result&selectedTitle=1%7E132&usage_type=default&display_rank=1
epzicom,Abacavir and lamivudine,"HIV-1 treatment,HIV-1 infection",https://www.uptodate.com/contents/abacavir-and-lamivudine-drug-information?search=epzicom&source=search_result&selectedTitle=1%7E38&usage_type=default&display_rank=1
eryc,Erythromycin,"Usual dosage range,Indication-specific dosing,Bacterial infections,Surgical",https://www.uptodate.com/contents/erythromycin-systemic-drug-information?search=eryc&source=search_result&selectedTitle=1%7E142&usage_type=default&display_rank=1
erygel,Erythromycin,"Usual dosage range,Indication-specific dosing,Bacterial infections,Surgical",https://www.uptodate.com/contents/erythromycin-systemic-drug-information?search=erygel&source=search_result&selectedTitle=1%7E142&usage_type=default&display_rank=1
eryped,Erythromycin,"Usual dosage range,Indication-specific dosing,Bacterial infections,Surgical",https://www.uptodate.com/contents/erythromycin-systemic-drug-information?search=eryped&source=search_result&selectedTitle=1%7E142&usage_type=default&display_rank=1
exalgo,Hydromorphone,"Pain management,Chronic pain,Moderate to severe pain",https://www.uptodate.com/contents/hydromorphone-drug-information?search=exalgo&source=search_result&selectedTitle=1%7E143&usage_type=default&display_rank=1
exelon,Rivastigmine,"Alzheimer dementia, mild to moderate,Alzheimer dementia, severe,Parkinson-related dementia, mild to moderate,Lewy body dementia,Alzheimer dementia,Parkinson disease dementia",https://www.uptodate.com/contents/rivastigmine-drug-information?search=exelon&source=search_result&selectedTitle=1%7E25&usage_type=default&display_rank=1
exforge,Amlodipine and valsartan,Hypertension,https://www.uptodate.com/contents/amlodipine-and-valsartan-drug-information?search=exforge&source=search_result&selectedTitle=1%7E9&usage_type=default&display_rank=1
exforge hct,"Amlodipine, valsartan, and hydrochlorothiazide",Hypertension,https://www.uptodate.com/contents/amlodipine-valsartan-and-hydrochlorothiazide-drug-information?search=exforge+hct&source=search_result&selectedTitle=1%7E2&usage_type=default&display_rank=1
famvir,Famciclovir,"Genital herpes simplex virus,Herpes labialis/orolabial,Herpes zoster,Varicella infection",https://www.uptodate.com/contents/famciclovir-drug-information?search=famvir&source=search_result&selectedTitle=1%7E68&usage_type=default&display_rank=1
famvir famvir,Famciclovir,"Genital herpes simplex virus,Herpes labialis/orolabial,Herpes zoster,Varicella infection",https://www.uptodate.com/contents/famciclovir-drug-information?search=famvir+famvir&source=search_result&selectedTitle=1%7E68&usage_type=default&display_rank=1
fazaclo,Clozapine,"Schizophrenia,Suicidal behavior in schizophrenia or schizoaffective disorder,Bipolar disorder,Psychosis in Parkinson disease,,Schizophrenia, treatment resistant",https://www.uptodate.com/contents/clozapine-drug-information?search=fazaclo&source=search_result&selectedTitle=1%7E103&usage_type=default&display_rank=1
felbatol,Felbamate,"Partial seizures, monotherapy,Partial seizures, adjunctive therapy,Partial seizures,Lennox-Gastaut syndrome,Limitations of use",https://www.uptodate.com/contents/felbamate-drug-information?search=felbatol&source=search_result&selectedTitle=1%7E16&usage_type=default&display_rank=1
feldene,Piroxicam,"Osteoarthritis, rheumatoid arthritis,Ankylosing spondylitis, osteoarthritis, rheumatoid arthritis,Arthritis",https://www.uptodate.com/contents/piroxicam-drug-information?search=feldene&source=search_result&selectedTitle=1%7E28&usage_type=default&display_rank=1
femcon fe,Ethinyl estradiol and norethindrone,"Acne,Contraception,Postmenopausal indications,Osteoporosis prevention,Vasomotor symptoms associated with menopause,Acne vulgaris",https://www.uptodate.com/contents/ethinyl-estradiol-and-norethindrone-drug-information?search=femcon+fe&source=search_result&selectedTitle=1%7E19&usage_type=default&display_rank=1
fenoglide,Fenofibrate,"Hypertriglyceridemia,Hypercholesterolemia or mixed hyperlipidemia,Hypercholesterolemia or mixed dyslipidemia",https://www.uptodate.com/contents/fenofibrate-drug-information?search=fenoglide&source=search_result&selectedTitle=1%7E42&usage_type=default&display_rank=1
